TF gene name (HGNC symbol)	Role in study	Ensembl ID (from HumanTFs)
ZNF230	Codebook TF	ENSG00000159882
ZNF233	Codebook TF	ENSG00000159915
ZNF234	Codebook TF	ENSG00000263002
ZNF251	Codebook TF	ENSG00000198169
ZNF275	Codebook TF	ENSG00000063587
ZNF280B	Codebook TF	ENSG00000275004
ZNF280D	Codebook TF	ENSG00000137871
ZNF286B	Codebook TF	ENSG00000249459
ZNF292	Codebook TF	ENSG00000188994
ZNF318	Codebook TF	ENSG00000171467
ZNF326	Codebook TF	ENSG00000162664
ZNF335	Codebook TF	ENSG00000198026
ZNF347	Codebook TF	ENSG00000197937
ZNF358	Codebook TF	ENSG00000198816
ZNF362	Codebook TF	ENSG00000160094
ZNF365	Codebook TF	ENSG00000138311
ZNF367	Codebook TF	ENSG00000165244
ZNF385A	Codebook TF	ENSG00000161642
ZNF385B	Codebook TF	ENSG00000144331
ZNF385C	Codebook TF	ENSG00000187595
ZNF395	Codebook TF	ENSG00000186918
ZNF407	Codebook TF	ENSG00000215421
ZNF428	Codebook TF	ENSG00000131116
ZNF43	Codebook TF	ENSG00000198521
ZNF446	Codebook TF	ENSG00000083838
ZNF469	Codebook TF	ENSG00000225614
ZNF470	Codebook TF	ENSG00000197016
ZNF471	Codebook TF	ENSG00000196263
ZNF474	Codebook TF	ENSG00000164185
ZNF48	Codebook TF	ENSG00000180035
ZNF493	Codebook TF	ENSG00000196268
ZNF497	Codebook TF	ENSG00000174586
ZNF500	Codebook TF	ENSG00000103199
ZNF503	Codebook TF	ENSG00000165655
ZNF507	Codebook TF	ENSG00000168813
ZNF510	Codebook TF	ENSG00000081386
ZNF516	Codebook TF	ENSG00000101493
ZNF518B	Codebook TF	ENSG00000178163
ZNF526	Codebook TF	ENSG00000167625
ZNF532	Codebook TF	ENSG00000074657
ZNF536	Codebook TF	ENSG00000198597
ZNF551	Codebook TF	ENSG00000204519
ZNF568	Codebook TF	ENSG00000198453
ZNF569	Codebook TF	ENSG00000196437
ZNF57	Codebook TF	ENSG00000171970
ZNF575	Codebook TF	ENSG00000176472
ZNF578	Codebook TF	ENSG00000258405
ZNF579	Codebook TF	ENSG00000218891
ZNF587B	Codebook TF	ENSG00000269343
ZNF592	Codebook TF	ENSG00000166716
ZNF598	Codebook TF	ENSG00000167962
ZNF606	Codebook TF	ENSG00000166704
ZNF608	Codebook TF	ENSG00000168916
ZNF609	Codebook TF	ENSG00000180357
ZNF618	Codebook TF	ENSG00000157657
ZNF623	Codebook TF	ENSG00000183309
ZNF630	Codebook TF	ENSG00000221994
ZNF639	Codebook TF	ENSG00000121864
ZNF644	Codebook TF	ENSG00000122482
ZNF646	Codebook TF	ENSG00000167395
ZNF648	Codebook TF	ENSG00000179930
ZNF654	Codebook TF	ENSG00000175105
ZNF66	Codebook TF	ENSG00000160229
ZNF665	Codebook TF	ENSG00000197497
ZNF668	Codebook TF	ENSG00000167394
ZNF672	Codebook TF	ENSG00000171161
ZNF676	Codebook TF	ENSG00000196109
ZNF678	Codebook TF	ENSG00000181450
ZNF683	Codebook TF	ENSG00000176083
ZNF687	Codebook TF	ENSG00000143373
ZNF688	Codebook TF	ENSG00000229809
ZNF689	Codebook TF	ENSG00000156853
ZNF696	Codebook TF	ENSG00000185730
ZNF699	Codebook TF	ENSG00000196110
ZNF70	Codebook TF	ENSG00000187792
ZNF700	Codebook TF	ENSG00000196757
ZNF703	Codebook TF	ENSG00000183779
ZNF705EP	Codebook TF	ENSG00000214534
ZNF706	Codebook TF	ENSG00000120963
ZNF709	Codebook TF	ENSG00000242852
ZNF717	Codebook TF	ENSG00000227124
ZNF721	Codebook TF	ENSG00000182903
ZNF724	Codebook TF	ENSG00000196081
ZNF726	Codebook TF	ENSG00000213967
ZNF728	Codebook TF	ENSG00000269067
ZNF729	Codebook TF	ENSG00000196350
ZNF732	Codebook TF	ENSG00000186777
ZNF746	Codebook TF	ENSG00000181220
ZNF750	Codebook TF	ENSG00000141579
ZNF763	Codebook TF	ENSG00000197054
ZNF772	Codebook TF	ENSG00000197128
ZNF773	Codebook TF	ENSG00000152439
ZNF775	Codebook TF	ENSG00000196456
ZNF780B	Codebook TF	ENSG00000128000
ZNF781	Codebook TF	ENSG00000196381
ZNF788P	Codebook TF	ENSG00000214189
ZNF800	Codebook TF	ENSG00000048405
ZNF804A	Codebook TF	ENSG00000170396
ZNF813	Codebook TF	ENSG00000198346
ZNF814	Codebook TF	ENSG00000204514
ZNF827	Codebook TF	ENSG00000151612
ZNF83	Codebook TF	ENSG00000167766
ZNF831	Codebook TF	ENSG00000124203
ZNF836	Codebook TF	ENSG00000196267
ZNF841	Codebook TF	ENSG00000197608
ZNF844	Codebook TF	ENSG00000223547
ZNF845	Codebook TF	ENSG00000213799
ZNF850	Codebook TF	ENSG00000267041
ZNF853	Codebook TF	ENSG00000236609
ZNF865	Codebook TF	ENSG00000261221
ZNF878	Codebook TF	ENSG00000257446
ZNF888	Codebook TF	ENSG00000213793
ZNF91	Codebook TF	ENSG00000167232
ZNF92	Codebook TF	ENSG00000146757
ZSCAN12	Codebook TF	ENSG00000158691
ZSCAN18	Codebook TF	ENSG00000121413
ZSCAN2	Codebook TF	ENSG00000176371
ZSCAN25	Codebook TF	ENSG00000197037
ZUP1	Codebook TF	ENSG00000153975
ZXDA	Codebook TF	ENSG00000198205
ZXDB	Codebook TF	ENSG00000198455
ZXDC	Codebook TF	ENSG00000070476
GLI4	Schmitges control	ENSG00000250571
SNAI1	Schmitges control	ENSG00000124216
ZFP28	Schmitges control	ENSG00000196867
ZFP3	Schmitges control	ENSG00000180787
ZIM3	Schmitges control	ENSG00000141946
ZNF121	Schmitges control	ENSG00000197961
ZNF134	Schmitges control	ENSG00000213762
ZNF140	Schmitges control	ENSG00000196387
ZNF146	Schmitges control	ENSG00000167635
ZNF16	Schmitges control	ENSG00000170631
ZNF18	Schmitges control	ENSG00000154957
ZNF189	Schmitges control	ENSG00000136870
ZNF22	Schmitges control	ENSG00000165512
ZNF250	Schmitges control	ENSG00000196150
ZNF260	Schmitges control	ENSG00000254004
ZNF264	Schmitges control	ENSG00000083844
ZNF280A	Schmitges control	ENSG00000169548
ZNF30	Schmitges control	ENSG00000168661
ZNF317	Schmitges control	ENSG00000130803
ZNF322	Schmitges control	ENSG00000181315
ZNF35	Schmitges control	ENSG00000169981
ZNF382	Schmitges control	ENSG00000161298
ZNF384	Schmitges control	ENSG00000126746
ZNF436	Schmitges control	ENSG00000125945
ZNF454	Schmitges control	ENSG00000178187
ZNF490	Schmitges control	ENSG00000188033
ZNF582	Schmitges control	ENSG00000018869
ZNF596	Schmitges control	ENSG00000172748
ZNF708	Schmitges control	ENSG00000182141
ZNF770	Schmitges control	ENSG00000198146
ZNF8	Schmitges control	ENSG00000278129
FLI1	SMiLE-seq control	ENSG00000151702
FOSL2	SMiLE-seq control	ENSG00000075426
GABPA	SMiLE-seq control	ENSG00000154727
GCM1	SMiLE-seq control	ENSG00000137270
JUN	SMiLE-seq control	ENSG00000177606
JUNB	SMiLE-seq control	ENSG00000171223
LEF1	SMiLE-seq control	ENSG00000138795
LHX6	SMiLE-seq control	ENSG00000106852
MAX	SMiLE-seq control	ENSG00000125952
MYF6	SMiLE-seq control	ENSG00000111046
NFKB1	SMiLE-seq control	ENSG00000109320
NR1H4	SMiLE-seq control	ENSG00000012504
NR4A2	SMiLE-seq control	ENSG00000153234
PAX7	SMiLE-seq control	ENSG00000009709
POU5F1	SMiLE-seq control	ENSG00000204531
RARA	SMiLE-seq control	ENSG00000131759
RORB	SMiLE-seq control	ENSG00000198963
RXRA	SMiLE-seq control	ENSG00000186350
SOX15	SMiLE-seq control	ENSG00000129194
SOX2	SMiLE-seq control	ENSG00000181449
SOX5	SMiLE-seq control	ENSG00000134532
SRY	SMiLE-seq control	ENSG00000184895
VDR	SMiLE-seq control	ENSG00000111424
ZSCAN4	SMiLE-seq control AND Hughes lab control	ENSG00000180532
CTCF	SMiLE-seq control AND Hughes control	ENSG00000102974
YY1	SMiLE-seq control AND Schmitges control AND Hughes lab control	ENSG00000100811
GFP	Control	
