tf	experiment_type	dataset
ANKZF1	CHS	THC_0165
ANKZF1	SMS	UT380-016
ANKZF1	SMS	UT380-017
ANKZF1	AFS-LYS	YWD_B_AffSeq_G10_ANKZF1
ANKZF1	PBM	PBM13507
ANKZF1	PBM	PBM13523
ANKZF1	HTS-LYS	YWD_A_TC40NAATCTC
ANKZF1	HTS-IVT	YWE_A_CG40NGTTATT
ANKZF1	HTS-GFPIVT	YWM_A_AA40NAGTGGT
ANKZF1	HTS-GFPIVT	YWM_A_TC40NGTTTTG
ANKZF1	AFS-GFPIVT	YWM_B_AffSeq_A3_ANKZF1-FL
ARHGAP35	PBM	PBM13669
ARHGAP35	PBM	PBM13685
ARHGAP35	HTS-IVT	YWJ_A_GA40NGAGCTG
ARHGAP35	HTS-LYS	YWL_A_CG40NTCTTGA
ARHGAP35	HTS-GFPIVT	YWM_A_AG40NGGAATC
ARID2	CHS	THC_0275
ARID2	CHS	THC_0409.Rep-DIANA_0293
ARID2	CHS	THC_0409.Rep-MICHELLE_0314
ARID2	PBM	PBM13818
ARID2	PBM	PBM13834
ARID2	HTS-IVT	YWH_A_AA40NTATCGC
ARID2	AFS-IVT	YWH_B_AffSeq_A01_ARID2_DBD
ARID2	HTS-LYS	YWL_A_AA40NCCGCGT
ARID2	AFS-LYS	YWL_B_AffSeq_A2_ARID2
ARID2	HTS-GFPIVT	YWM_A_CA40NAGCGTA
ATMIN	CHS	THC_0236
ATMIN	CHS	THC_0244
ATMIN	HTS-LYS	YWK_A_CA40NAGCGTA
ATMIN	HTS-LYS	YWK_C_CA40NAGCGTA
ATMIN	HTS-GFPIVT	YWM_A_CG40NTCTTGA
ATMIN	AFS-GFPIVT	YWM_B_AffSeq_D3_ATMIN-DBD
ATMIN	PBM	PBM13508
ATMIN	PBM	PBM13524
ATMIN	SMS	UT380-020
ATMIN	SMS	UT380-021
ATMIN	HTS-IVT	YWH_A_CA40NAGCGTA
ATMIN	AFS-IVT	YWH_B_AffSeq_C03_ATMIN_DBD
ATMIN	AFS-LYS	YWK_B_AffSeq_C3_ATMIN
ATMIN	HTS-GFPIVT	YWM_A_GA40NTTCCTA
ATMIN	AFS-GFPIVT	YWM_B_AffSeq_E3_ATMIN-FL
BATF2	PBM	PBM13516
BATF2	HTS-IVT	YWH_A_GG40NGGTTTA
BATF2	HTS-GFPIVT	YWM_A_GG40NTAGTTT
BATF2	PBM	PBM13500
BATF2	PBM	PBM13501
BATF2	PBM	PBM13517
BATF2	CHS	THC_0117
BATF2	CHS	THC_0118
BATF2	SMS	UT380-022
BATF2	HTS-IVT	YWH_A_GA40NGGTCAT
BATF2	AFS-IVT	YWH_B_AffSeq_F02_BATF2_DBD
BATF2	HTS-LYS	YWL_A_GG40NTAGTTT
BATF2	AFS-LYS	YWL_B_AffSeq_F3_BATF2
BAZ2B	CHS	THC_0613
BAZ2B	HTS-LYS	YWL_A_GT40NTGTGGA
BHLHA9	PBM	PBM13515
BHLHA9	SMS	UT380-023
BHLHA9	PBM	PBM13499
BHLHA9	CHS	THC_0190
BHLHA9	CHS	THC_0198
BHLHA9	HTS-IVT	YWH_A_AA40NCCGCGT
BHLHA9	HTS-LYS	YWK_A_CA40NCATGTC
BHLHA9	AFS-LYS	YWK_B_AffSeq_C4_BHLHA9
BHLHA9	HTS-LYS	YWK_C_CA40NCATGTC
BHLHA9	HTS-GFPIVT	YWM_A_TA40NAGGCTT
BHLHA9	AFS-GFPIVT	YWM_B_AffSeq_G3_BHLHA9-FL
BRF2	PBM	PBM13670
BRF2	PBM	PBM13686
BRF2	HTS-IVT	YWF_A_AC40NGTTCGA
BRF2	HTS-LYS	YWK_A_AC40NGCTGCT
BRF2	AFS-LYS	YWK_B_AffSeq_A9_BRF2
BRF2	HTS-LYS	YWK_C_AC40NGCTGCT
BRF2	HTS-GFPIVT	YWM_A_TG40NTGATCT
BRF2	AFS-GFPIVT	YWM_B_AffSeq_H3_BRF2-FL
CAMTA1	PBM	PBM13538
CAMTA1	PBM	PBM13554
CAMTA1	HTS-IVT	YWE_A_CC40NTGAGTA
CAMTA1	CHS	THC_0249
CAMTA1	SMS	UT380-026
CAMTA1	HTS-LYS	YWK_A_TA40NAGGCTT
CAMTA1	AFS-LYS	YWK_B_AffSeq_G3_CAMTA1
CAMTA1	HTS-LYS	YWK_C_TA40NAGGCTT
CAMTA1	AFS-LYS	YWK_D_AffSeq_G3_CAMTA1
CAMTA1	HTS-GFPIVT	YWM_A_AG40NTGGCTA
CAMTA1	AFS-GFPIVT	YWM_B_AffSeq_B4_CAMTA1-DBD
CAMTA2	PBM	PBM13539
CAMTA2	PBM	PBM13555
CAMTA2	CHS	THC_0232
CAMTA2	SMS	UT380-027
CAMTA2	HTS-IVT	YWI_A_AC40NTCCTTG
CAMTA2	AFS-IVT	YWI_B_AffSeq_A12_CAMTA2_DBD
CAMTA2	HTS-LYS	YWL_A_TA40NTCACTC
CAMTA2	AFS-LYS	YWL_B_AffSeq_G2_CAMTA2
CAMTA2	HTS-GFPIVT	YWM_A_CA40NCATGTC
CAMTA2	AFS-GFPIVT	YWM_B_AffSeq_C4_CAMTA2-DBD
CASZ1	SMS	UT380-029
CASZ1	AFS-IVT	YWH_B_AffSeq_D03_CASZ1_DBD_2
CASZ1	CHS	THC_0353.Rep-MICHELLE_0314
CASZ1	SMS	UT380-028
CASZ1	SMS	UT380-029-2
CASZ1	HTS-IVT	YWF_A_CG40NGTTATT
CASZ1	AFS-IVT	YWF_B_AffSeq_D01_CASZ1
CASZ1	HTS-IVT	YWH_A_CG40NTCTTGA
CASZ1	HTS-LYS	YWK_A_AG40NGGAATC
CASZ1	AFS-LYS	YWK_B_AffSeq_B3_CASZ1
CASZ1	HTS-LYS	YWK_C_AG40NGGAATC
CASZ1	AFS-LYS	YWK_D_AffSeq_B3_CASZ1
CASZ1	HTS-GFPIVT	YWM_A_CT40NCGGAGA
CASZ1	HTS-GFPIVT	YWM_A_GA40NGAGCTG
CASZ1	AFS-GFPIVT	YWM_B_AffSeq_D4_CASZ1-DBD-1
CASZ1	AFS-GFPIVT	YWM_B_AffSeq_E4_CASZ1-DBD-2
CBX2	SMS	UT380-030
CBX2	CHS	THC_0659
CBX2	CHS	THC_0755
CBX2	HTS-GFPIVT	YWM_A_GT40NACGATC
CBX2	AFS-GFPIVT	YWM_B_AffSeq_F4_CBX2-FL
CBX2	HTS-LYS	YWN_A_CG40NGTTATT
CBX2	AFS-LYS	YWN_B_AffSeq_D1_CBX2
CBX2	HTS-LYS	YWO_A_CG40NGTTATT
CBX2	AFS-LYS	YWO_B_AffSeq_D1_CBX2
CC2D1A	AFS-LYS	YWL_B_AffSeq_E5_CC2D1A
CC2D1A	AFS-GFPIVT	YWM_B_AffSeq_G4_CC2D1A-FL
CC2D1A	HTS-LYS	YWL_A_GA40NACTTTG
CC2D1A	HTS-GFPIVT	YWM_A_TA40NTTTGCG
CCDC17	AFS-LYS	YWD_B_AffSeq_E04_CCDC17
CCDC17	PBM	PBM13401
CCDC17	PBM	PBM13417
CCDC17	SMS	UT380-032
CCDC17	HTS-LYS	YWD_A_GA40NGAGCTG
CCDC17	HTS-IVT	YWH_A_GA40NTTCCTA
CCDC17	HTS-GFPIVT	YWM_A_TG40NCATATG
CENPA	PBM	PBM13540
CENPA	PBM	PBM13556
CENPA	CHS	THC_0633
CENPA	CHS	THC_0729
CENPA	HTS-IVT	YWE_A_AT40NTCCCGA
CENPA	HTS-GFPIVT	YWM_A_AA40NCCAGTG
CENPA	AFS-GFPIVT	YWM_B_AffSeq_A5_CENPA-FL
CENPA	HTS-LYS	YWN_A_GA40NCTGATT
CENPA	AFS-LYS	YWN_B_AffSeq_E1_CENPA
CENPA	HTS-LYS	YWO_A_GA40NCTGATT
CENPA	AFS-LYS	YWO_B_AffSeq_E1_CENPA
CENPS	PBM	PBM13671
CENPS	PBM	PBM13687
CENPS	HTS-IVT	YWJ_A_GT40NACGATC
CENPS	HTS-GFPIVT	YWM_A_AG40NGCTCTG
CENPS	HTS-LYS	YWN_A_AG40NTCGACT
CENPS	AFS-LYS	YWN_B_AffSeq_B1_CENPS
