Index	Plasmid Number	Plasmid backbone	Plasmid Name	Insert Name	Gene Name	Notes	PBM_ME experiment ID(s)	PBM_HK experiment ID(s)	Plasmid Number	HT-Selex (IVT) experiment ID(s)	HT-Selex (Lysate) experiment ID(s)	AffiSeq (IVT) experiment ID(s)	AffiSeq (Lysate) experiment ID(s)	SMiLE-seq experiment ID(s)	ChIP-seq replicate 1	ChIP-seq replicate 2	
661	pTH14237	pTH6838	GST.HMG20A.DBD	HMG20A.DBD	HMG20A	Codebook clone	13632	13976, 13648	pTH14237	YWC_132					#N/A		
679	pTH14255	pTH6838	GST.HSFX1.DBD	HSFX1.DBD	HSFX1	Codebook clone	13633	13649	pTH14255	#N/A					#N/A		
680	pTH14256	pTH6838	GST.HSFX2.FL	HSFX2.FL	HSFX2	Codebook clone	13634	13650	pTH14256	#N/A					#N/A		
726	pTH14302	pTH6838	GST.GLMP.FL	GLMP.FL	GLMP	Codebook clone	13635	13651	pTH14302	#N/A					#N/A		
669	pTH14245	pTH6838	GST.MKX.DBD	MKX.DBD	MKX	Codebook clone	13657	13673	pTH14245	YWC_134					#N/A		
670	pTH14246	pTH6838	GST.NANOGNB.FL	NANOGNB.FL	NANOGNB	Codebook clone	13658	13674	pTH14246	#N/A					#N/A		
672	pTH14248	pTH6838	GST.TPRX1.DBD	TPRX1.DBD	TPRX1	Codebook clone	13659	13675	pTH14248	YWC_136					#N/A		
681	pTH14257	pTH6838	GST.HSFX2.DBD	HSFX2.DBD	HSFX2	Codebook clone	13660	13676	pTH14257	#N/A					#N/A		
683	pTH14259	pTH6838	GST.MSANTD1.DBD	MSANTD1.DBD	MSANTD1	Codebook clone	13661	13677	pTH14259	YWC_137					#N/A		
695	pTH14271	pTH6838	GST.DMTF1.DBD	DMTF1.DBD	DMTF1	Codebook clone	13662	13678	pTH14271	YWC_139					#N/A		
696	pTH14272	pTH6838	GST.MSANTD4.FL	MSANTD4.FL	MSANTD4	Codebook clone	13663	13679	pTH14272	YWC_140					#N/A		
698	pTH14274	pTH6838	GST.MYPOP.DBD	MYPOP.DBD	MYPOP	Codebook clone	13664	13680	pTH14274	YWC_141					#N/A		
699	pTH14275	pTH6838	GST.MYSM1.DBD	MYSM1.DBD	MYSM1	Codebook clone	13665	13681	pTH14275	#N/A					#N/A		
700	pTH14276	pTH6838	GST.TERB1.DBD	TERB1.DBD	TERB1	Codebook clone	13666	13682	pTH14276	#N/A					#N/A		
703	pTH14279	pTH6838	GST.TTF1.DBD	TTF1.DBD	TTF1	Codebook clone	13667	13683	pTH14279	#N/A					#N/A		
707	pTH14283	pTH6838	GST.AEBP1.DBD	AEBP1.DBD	AEBP1	Codebook clone	13668	13684	pTH14283	#N/A					#N/A		
708	pTH14284	pTH6838	GST.ARHGAP35.DBD	ARHGAP35.DBD	ARHGAP35	Codebook clone	13669	13685	pTH14284	#N/A					#N/A		
709	pTH14285	pTH6838	GST.BRF2.FL	BRF2.FL	BRF2	Codebook clone	13670	13686	pTH14285	#N/A					#N/A		
711	pTH14287	pTH6838	GST.CENPS.FL	CENPS.FL	CENPS	Codebook clone	13671	13687	pTH14287	#N/A					#N/A		
715	pTH14291	pTH6838	GST.CHCHD3.FL	CHCHD3.FL	CHCHD3	Codebook clone	13672	13688	pTH14291	#N/A					#N/A		
351	pTH13927	pTH6838	GST.FAM200B.DBD	FAM200B.DBD	FAM200B	Codebook clone	13691	13707	pTH13927	YWC_087					#N/A		
352	pTH13928	pTH6838	GST.SGSM2.DBD	SGSM2.DBD	SGSM2	Codebook clone	13692	13708	pTH13928	YWC_088					#N/A		
353	pTH13929	pTH6838	GST.ZBED2.FL	ZBED2.FL	ZBED2	Codebook clone	13693	13709	pTH13929	YWC_089					#N/A		
354	pTH13930	pTH6838	GST.ZBED3.FL	ZBED3.FL	ZBED3	Codebook clone	13694	13710	pTH13930	YWC_090					#N/A		
356	pTH13932	pTH6838	GST.ZBED5.DBD	ZBED5.DBD	ZBED5	Codebook clone	13695	13711	pTH13932	YWC_092					#N/A		
357	pTH13933	pTH6838	GST.ZBED9.DBD	ZBED9.DBD	ZBED9	Codebook clone	13696	13712	pTH13933	YWC_093					#N/A		
365	pTH13941	pTH6838	GST.POGK.DBD	POGK.DBD	POGK	Codebook clone	13697	13713	pTH13941	#N/A					#N/A		
634	pTH14210	pTH6838	GST.JRK.DBD	JRK.DBD	JRK	Codebook clone	13698	13714	pTH14210	YWC_115					#N/A		
636	pTH14212	pTH6838	GST.TIGD3.DBD	TIGD3.DBD	TIGD3	Codebook clone	13699	13715	pTH14212	YWC_117					#N/A		
638	pTH14214	pTH6838	GST.TIGD4.DBD	TIGD4.DBD	TIGD4	Codebook clone	13700	13716	pTH14214	#N/A					#N/A		
641	pTH14217	pTH6838	GST.TIGD7.DBD	TIGD7.DBD	TIGD7	Codebook clone	13701	13717	pTH14217	YWC_119					#N/A		
656	pTH14232	pTH6838	GST.ZGLP1.DBD	ZGLP1.DBD	ZGLP1	Codebook clone	13702	13718	pTH14232	YWC_129					#N/A		
662	pTH14238	pTH6838	GST.HMGN3.FL	HMGN3.FL	HMGN3	Codebook clone	13703	13719	pTH14238	#N/A					#N/A		
724	pTH14300	pTH6838	GST.DR1.FL	DR1.FL	DR1	Codebook clone	13721	13737	pTH14300	#N/A					#N/A		
728	pTH14304	pTH6838	GST.GPBP1.DBD	GPBP1.DBD	GPBP1	Codebook clone	13722	13738	pTH14304	YWC_143					#N/A		
729	pTH14305	pTH6838	GST.GPBP1L1.FL	GPBP1L1.FL	GPBP1L1	Codebook clone	13723	13739	pTH14305	#N/A					#N/A		
730	pTH14306	pTH6838	GST.KCNIP3.FL	KCNIP3.FL	KCNIP3	Codebook clone	13724	13740	pTH14306	#N/A					#N/A		
732	pTH14308	pTH6838	GST.NACC2.DBD	NACC2.DBD	NACC2	Codebook clone	13725	13741	pTH14308	YWC_144					#N/A		
