BBI_ID	Hughes_ID	TF_family	SSID	Barcode
UT380-009	AHCTF1.DBD	AT hook	SS001	BC01
UT380-012	AKAP8L.DBD	C2H2 ZF	SS001	BC02
UT380-022	BATF2.FL	bZIP	SS001	BC03
UT380-023	BHLHA9.FL	bHLH	SS001	BC04
UT380-028	CASZ1.DBD.1	C2H2 ZF	SS001	BC05
UT380-042	CREB3L3.FL	bZIP	SS001	BC06
UT380-055	DMRTB1.FL	DM	SS001	BC07
UT380-064	ELF3.FL	Ets; AT hook	SS001	BC08
UT380-070	FIZ1.FL	C2H2 ZF	SS001	BC10
UT380-075	GATAD2B.FL	GATA	SS001	BC11
UT380-090	HSFX1.FL	HSF	SS001	BC12
UT380-038	CHAMP1.DBD	C2H2 ZF	SS003	BC01
UT380-056	DMTF1.DBD	Myb/SANT	SS003	BC02
UT380-198	SP100.DBD	SAND	SS003	BC03
UT380-095	KAT7.DBD	C2H2 ZF	SS003	BC04
UT380-096	KAT7.FL	C2H2 ZF	SS003	BC05
UT380-103	LEUTX.FL	Homeodomain	SS003	BC06
UT380-104	MAZ.FL	C2H2 ZF	SS003	BC07
UT380-113	MKX.FL	Homeodomain	SS003	BC08
UT380-125	MYT1.DBD.1	C2H2 ZF	SS003	BC09
UT380-126	MYT1.DBD.2	C2H2 ZF	SS003	BC10
UT380-142	PEG3.DBD.1	C2H2 ZF	SS003	BC11
UT380-093	JRK.DBD	CENPB	SS004	BC01
UT380-098	KDM2A.DBD	CxxC	SS004	BC02
UT380-237	TSHZ2.DBD.1	C2H2 ZF	SS004	BC03
UT380-238	TSHZ2.DBD.2	C2H2 ZF	SS004	BC04
UT380-242	ZBED2.FL	BED ZF	SS004	BC05
UT380-243	ZBED3.FL	BED ZF	SS004	BC06
UT380-249	ZBTB40.DBD	C2H2 ZF	SS004	BC07
UT380-250	ZBTB41.DBD	C2H2 ZF	SS004	BC08
UT380-252	ZBTB46.DBD	C2H2 ZF	SS004	BC09
UT380-253	ZBTB46.FL	C2H2 ZF	SS004	BC10
UT380-254	ZBTB47.DBD	C2H2 ZF	SS004	BC11
UT380-105	MBD1.DBD	MBD; CxxC ZF	SS005	BC01
UT380-127	NACC2.DBD	Unknown	SS005	BC02
UT380-502	ZSCAN12.DBD	C2H2 ZF	SS005	BC03
UT380-503	ZSCAN12.FL	C2H2 ZF	SS005	BC04
UT380-506	ZSCAN2.DBD	C2H2 ZF	SS005	BC05
UT380-507	ZSCAN2.FL	C2H2 ZF	SS005	BC06
UT380-508	ZSCAN25.DBD	C2H2 ZF	SS005	BC07
UT380-509	ZSCAN25.FL	C2H2 ZF	SS005	BC08
UT380-248	ZBTB24.FL	#N/A	SS005	BC09
UT380-255	ZBTB47.FL	C2H2 ZF	SS005	BC10
UT380-251	ZBTB41.FL	C2H2 ZF	SS005	BC11
UT380-144	PHF21A.DBD	AT hook	SS006	BC01
UT380-185	SETBP1.DBD.1	AT hook	SS006	BC02
UT380-269	ZGLP1.FL	GATA	SS006	BC03
UT380-279	ZKSCAN4.DBD	C2H2 ZF	SS006	BC04
UT380-280	ZKSCAN4.FL	C2H2 ZF	SS006	BC05
UT380-284	ZNF107.DBD.1	C2H2 ZF	SS006	BC06
UT380-285	ZNF107.DBD.2	C2H2 ZF	SS006	BC07
UT380-287	ZNF131.DBD	C2H2 ZF	SS006	BC08
UT380-292	ZNF160.DBD	C2H2 ZF	SS006	BC09
UT380-294	ZNF20.FL	C2H2 ZF	SS006	BC10
UT380-296	ZNF208.DBD.1	C2H2 ZF	SS006	BC11
UT380-204	SP140L.DBD	SAND	SS007	BC01
UT380-212	TET3.DBD	CxxC	SS007	BC02
UT380-314	ZNF280D.DBD	C2H2 ZF	SS007	BC03
UT380-318	ZNF292.DBD.1	C2H2 ZF	SS007	BC04
UT380-319	ZNF292.DBD.2	C2H2 ZF	SS007	BC05
UT380-323	ZNF335.AThook	#N/A	SS007	BC06
