Experiment UNIQID (PBM ID)	ME/HK	Plasmid ID	Gene ID	Date	QC	Notes	Data file name	PBM assay no
PBM13824	ME	pTH13925	SETBP1	2018-11-13	Pass_matched_pair		2018-11-13_252207110444_S02_R0_GD2_Cy5	13824
PBM13840	HK	pTH13925	SETBP1	2018-11-13	Pass_matched_pair		2018-11-13_252436510528_S02_R0_GD2_Cy5	13840
PBM13825	ME	pTH13926	C11orf95	2018-11-13	Pass_matched_pair		2018-11-13_252207110444_S02_R0_GE1_Cy5	13825
PBM13841	HK	pTH13926	C11orf95	2018-11-13	Pass_matched_pair		2018-11-13_252436510528_S02_R0_GE1_Cy5	13841
PBM13691	ME	pTH13927	FAM200B	2018-10-24	Pass_matched_pair		2018-10-24_252207110433_S02_R0_GB1_Cy5	13691
PBM13707	HK	pTH13927	FAM200B	2018-10-24	Pass_matched_pair		2018-10-24_252436510529_S02_R0_GB1_Cy5	13707
PBM13692	ME	pTH13928	SGSM2	2018-10-24	Reject		2018-10-24_252207110433_S02_R0_GB2_Cy5	13692
PBM13708	HK	pTH13928	SGSM2	2018-10-24	Reject		2018-10-24_252436510529_S02_R0_GB2_Cy5	13708
PBM13693	ME	pTH13929	ZBED2	2018-10-24	Pass_matched_pair		2018-10-24_252207110433_S02_R0_GC1_Cy5	13693
PBM13709	HK	pTH13929	ZBED2	2018-10-24	Pass_matched_pair		2018-10-24_252436510529_S02_R0_GC1_Cy5	13709
PBM13694	ME	pTH13930	ZBED3	2018-10-24	Reject		2018-10-24_252207110433_S02_R0_GC2_Cy5	13694
PBM13710	HK	pTH13930	ZBED3	2018-10-24	Reject		2018-10-24_252436510529_S02_R0_GC2_Cy5	13710
PBM13826	ME	pTH13931	ZBED4	2018-11-13	Pass_matched_pair		2018-11-13_252207110444_S02_R0_GE2_Cy5	13826
PBM13842	HK	pTH13931	ZBED4	2018-11-13	Reject		2018-11-13_252436510528_S02_R0_GE2_Cy5	13842
PBM13975	HK	pTH13931	ZBED4	2018-11-28	Pass_matched_pair		2018-11-28_252436510624_S02_R0_GH1_Cy5	13975
PBM13695	ME	pTH13932	ZBED5	2018-10-24	Pass_matched_pair		2018-10-24_252207110433_S02_R0_GD1_Cy5	13695
PBM13711	HK	pTH13932	ZBED5	2018-10-24	Pass_matched_pair		2018-10-24_252436510529_S02_R0_GD1_Cy5	13711
PBM13696	ME	pTH13933	ZBED9	2018-10-24	Pass_matched_pair		2018-10-24_252207110433_S02_R0_GD2_Cy5	13696
PBM13712	HK	pTH13933	ZBED9	2018-10-24	Pass_matched_pair		2018-10-24_252436510529_S02_R0_GD2_Cy5	13712
PBM13499	ME	pTH13934	BHLHA9	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GB1_Cy5	13499
PBM13515	HK	pTH13934	BHLHA9	2018-08-23	Reject		2018-08-23_252436510524_S02_R0_GB1_Cy5	13515
PBM13827	ME	pTH13935	NCOA1	2018-11-13	Reject		2018-11-13_252207110444_S02_R0_GF1_Cy5	13827
PBM13843	HK	pTH13935	NCOA1	2018-11-13	Reject		2018-11-13_252436510528_S02_R0_GF1_Cy5	13843
PBM13828	ME	pTH13936	NCOA2	2018-11-13	Reject		2018-11-13_252207110444_S02_R0_GF2_Cy5	13828
PBM13844	HK	pTH13936	NCOA2	2018-11-13	Reject		2018-11-13_252436510528_S02_R0_GF2_Cy5	13844
PBM13829	ME	pTH13937	NCOA3	2018-11-13	Reject		2018-11-13_252207110444_S02_R0_GG1_Cy5	13829
PBM13845	HK	pTH13937	NCOA3	2018-11-13	Reject		2018-11-13_252436510528_S02_R0_GG1_Cy5	13845
PBM13830	ME	pTH13938	SOHLH1	2018-11-13	Reject		2018-11-13_252207110444_S02_R0_GG2_Cy5	13830
PBM13846	HK	pTH13938	SOHLH1	2018-11-13	Reject		2018-11-13_252436510528_S02_R0_GG2_Cy5	13846
PBM13831	ME	pTH13939	SOHLH1	2018-11-13	Reject		2018-11-13_252207110444_S02_R0_GH1_Cy5	13831
PBM13847	HK	pTH13939	SOHLH1	2018-11-13	Reject		2018-11-13_252436510528_S02_R0_GH1_Cy5	13847
PBM13832	ME	pTH13940	USF3	2018-11-13	Pass_matched_pair		2018-11-13_252207110444_S02_R0_GH2_Cy5	13832
PBM13848	HK	pTH13940	USF3	2018-11-13	Pass_matched_pair		2018-11-13_252436510528_S02_R0_GH2_Cy5	13848
PBM13697	ME	pTH13941	POGK	2018-10-24	Reject		2018-10-24_252207110433_S02_R0_GE1_Cy5	13697
PBM13713	HK	pTH13941	POGK	2018-10-24	Reject		2018-10-24_252436510529_S02_R0_GE1_Cy5	13713
PBM13500	ME	pTH13942	BATF2	2018-08-23	Reject		2018-08-23_252207110425_S02_R0_GB2_Cy5	13500
