ChIP experiment uinque ID	Plasmid ID	Gene ID	Sample ID	Submitted sample label	ChIP/INPUT	Replicate #	Comments	Data File ID	Sequencing Facility	Batch #
SI0545	pTH15862	ZIM3	pTH15862.1.1	ZIM3_rep1	ChIP	1		Hughes_SI0545_ZIM3	DSC	0
SI0039	pTH15950	ZNF264	pTH15950.1.1	ZNF264_rep1	ChIP	1		Hughes_6_ZNF264_A_Chip	DSC	0
SI0524	pTH15892	ZNF384	pTH15892.1.1	ZNF384_rep1	ChIP	1		Hughes_SI0524_ZNF384	DSC	0
SI0433	pTH15849	ZNF436	pTH15849.1.1	ZNF436_rep1	ChIP	1		Hughes_SI0433_ZNF436	DSC	0
SI0271	pTH15851	ZNF490	pTH15851.1.1	ZNF490_rep1	ChIP	1		Hughes_SI0271_ZNF490	DSC	0
SI0496	pTH15857	ZNF8	pTH15857.1.1	ZNF8_rep1	ChIP	1		Hughes_SI0496_ZNF8	DSC	0
SI0551	pTH15959	ZNF260	pTH15959.1.1	ZNF260_rep1	ChIP	1		Hughes_SI0551_ZNF260	DSC	0
SI0233	pTH15943	ZNF582	pTH15943.1.1	ZNF582_rep1	ChIP	1		Hughes_SI0233_ZNF582	DSC	0
SI0327	pTH15943	ZNF582	pTH15943.1.2	ZNF582_rep2	ChIP	2		Hughes_SI_327_1in10	DSC	0
SI0474	pTH15990	ZNF596	pTH15990.1.2	ZNF596_rep2	ChIP	2		Hughes_SI0474_ZNF596	DSC	0
SI0212	pTH15883	ZNF770	pTH15883.1.1	ZNF770_rep1	ChIP	1		Hughes_SI0212_ZNF770	DSC	0
SI0216	pTH15866	ZFP28	pTH15866.1.1	ZFP28_rep1	ChIP	1		Hughes_SI0216_ZFP28	DSC	0
SI0343	pTH15866	ZFP28	pTH15866.1.2	ZFP28_rep2	ChIP	2		Hughes_SI_343_1in10	DSC	0
SI0410	pTH15813	ZNF146	pTH15813.1.1	ZNF146_rep1	ChIP	1		Hughes_SI0410_ZNF146	DSC	0
SI0340	pTH15868	ZNF140	pTH15868.1.1	ZNF140_rep1	ChIP	1		Hughes_SI_340	DSC	0
SI0336	pTH15873	ZNF317	pTH15873.1.2	ZNF317_rep2	ChIP	2		Hughes_SI_336	DSC	0
SI0581	pTH15873	ZNF317	pTH15873.1.3	ZNF317_rep3	ChIP	3		Hughes_SI0581_ZNF317	DSC	0
THC_0035	pTH14546	PHF20	pTH14546.1.1	SI2080_PHF20-1_ChIP	ChIP	1		SI2080.fastq.gz	DSC	1
THC_0036	pTH14546	PHF20	pTH14546.1.2	SI2081_PHF20-2_ChIP	ChIP	2		SI2081.fastq.gz	DSC	1
THC_0045	pTH14545	ZNF367	pTH14545.1.1	SI2090_ZNF367-1_ChIP	ChIP	1		SI2090.fastq.gz	DSC	1
THC_0046	pTH14545	ZNF367	pTH14545.1.2	SI2091_ZNF367-2_ChIP	ChIP	2		SI2091.fastq.gz	DSC	1
THC_0064	pTH14546	PHF20	pTH14546.1.1	SI2109_PHF20-1_INPUT	INPUT	1	negative control sample	SI2109.fastq.gz	DSC	1
THC_0069	pTH14545	ZNF367	pTH14545.1.1	SI2114_ZNF367-1_INPUT	INPUT	1	negative control sample	SI2114.fastq.gz	DSC	1
THC_0070	pTH13817	ADNP2	pTH13817.1.2	RR_PE0001_ADNP2_ChIP_1	ChIP 	1		Plate_1_A1_S1_R2_001.fastq.gz	DSC	2
THC_0071	pTH13797	TIGD4	pTH13797.1.2	RR_PE0003_TIGD4_ChIP_2	ChIP	2		Plate_1_C1_S3_R2_001.fastq.gz	DSC	2
THC_0072	pTH13900	SP140L	pTH13900.1.1	RR_PE0004_SP140L_ChIP_1	ChIP	1		Plate_1_D1_S4_R1_001.fastq.gz	DSC	2
THC_0073	pTH13604	ZBED9	pTH13604.1.1	RR_PE0005_ZBED9_ChIP_1	ChIP	1		Plate_1_E1_S5_R2_001.fastq.gz	DSC	2
THC_0074	pTH13649	ZBTB47	pTH13649.1.1	RR_PE0008_ZBTB47_ChIP_1	ChIP	1		Plate_1_H1_S8_R1_001.fastq.gz	DSC	2
THC_0075	pTH13692	ZNF428	pTH13692.1.1	RR_PE0010_ZNF428_ChIP_1	ChIP	1		Plate_1_B2_S10_R2_001.fastq.gz	DSC	2
THC_0076	pTH13784	ZSCAN12	pTH13784.1.2	RR_PE0011_ZSCAN12_ChIP_2	ChIP	2		Plate_1_C2_S11_R1_001.fastq.gz	DSC	2
THC_0077	pTH13786	ZSCAN2	pTH13786.1.1	RR_PE0012_ZSCAN2_ChIP_1	ChIP	1		Plate_1_D2_S12_R1_001.fastq.gz	DSC	2
THC_0078	pTH13668	ZNF215	pTH13668.1.2	RR_PE0014_ZNF215_ChIP_2	ChIP	2		Plate_1_F2_S14_R2_001.fastq.gz	DSC	2
THC_0079	pTH13647	ZBTB41	pTH13647.1.1	RR_PE0016_ZBTB41_ChIP_1	ChIP	1		Plate_1_H2_S16_R2_001.fastq.gz	DSC	2
THC_0081	pTH13603	ZBED5	pTH13603.1.2	RR_PE0020_ZBED5_ChIP_2	ChIP	2		Plate_1_D3_S20_R1_001.fastq.gz	DSC	2
THC_0082	pTH13692	ZNF428	pTH13692.1.2	RR_PE0025_ZNF428_ChIP_2	ChIP	2		Plate_1_A4_S25_R1_001.fastq.gz	DSC	2
THC_0083	pTH13603	ZBED5	pTH13603.1.1	RR_PE0026_ZBED5_ChIP_1	ChIP	1		Plate_1_B4_S26_R1_001.fastq.gz	DSC	2
THC_0084	pTH13841	TERB1	pTH13841.1.2	RR_PE0027_TERB1_ChIP_2	ChIP	2		Plate_1_C4_S27_R1_001.fastq.gz	DSC	2
THC_0085	pTH14538	RFX5	pTH14538.1.1	RR_PE0028_RXF5_ChIP_3	ChIP	1		Plate_1_D4_S28_R1_001.fastq.gz	DSC	2
THC_0086	pTH13633	PEG3	pTH13633.1.2	RR_PE0031_PEG3_ChIP_2	ChIP	2		Plate_1_G4_S31_R2_001.fastq.gz	DSC	2
THC_0087	pTH13592	DNTTIP1	pTH13592.1.2	RR_PE0033_DNMTTIP1_ChIP_2	ChIP	2		Plate_1_A5_S33_R1_001.fastq.gz	DSC	2
THC_0088	pTH13593	GLYR1	pTH13593.1.2	RR_PE0034_GLYR1_ChIP_2	ChIP	2		Plate_1_B5_S34_R1_001.fastq.gz	DSC	2
THC_0089	pTH13692	ZNF428	pTH13692.1.1	RR_PE0035_ZNF428_INPUT_1	INPUT	1	negative control sample	Plate_1_C5_S35_R2_001.fastq.gz	DSC	2
THC_0090	pTH13900	SP140L	pTH13900.1.2	RR_PE0036_SP140L_ChIP_2	ChIP	2		Plate_1_D5_S36_R2_001.fastq.gz	DSC	2
THC_0091	pTH13903	THAP11	pTH13903.1.1	RR_PE0037_THAPII_INPUT_1	INPUT	1	negative control sample	Plate_1_E5_S37_R1_001.fastq.gz	DSC	2
THC_0092	pTH13893	THYN1	pTH13893.1.2	RR_PE0038_THYN1_ChIP_2	ChIP	2		Plate_1_F5_S38_R2_001.fastq.gz	DSC	2
THC_0093	pTH13614	AC008770	pTH13614.1.1	RR_PE0039_AC008770_INPUT_1	INPUT	1	negative control sample	Plate_1_G5_S39_R1_001.fastq.gz	DSC	2
THC_0094	pTH13692	ZNF428	pTH13692.1.2	RR_PE0044_ZNF428_INPUT_2	INPUT	2	negative control sample	Plate_1_D6_S44_R2_001.fastq.gz	DSC	2
THC_0096	pTH13893	THYN1	pTH13893.1.2	RR_PE0046_THYN1_INPUT_2	INPUT	2	negative control sample	Plate_1_F6_S46_R2_001.fastq.gz	DSC	2
THC_0097	pTH13841	TERB1	pTH13841.1.2	RR_PE0047_TERB1_INPUT_2	INPUT	2	negative control sample	Plate_1_G6_S47_R2_001.fastq.gz	DSC	2
THC_0098	pTH13592	DNTTIP1	pTH13592.1.2	RR_PE0048_DNMTTIP1_INPUT_2	INPUT	2	negative control sample	Plate_1_H6_S48_R2_001.fastq.gz	DSC	2
THC_0099	pTH13600	ZBED2	pTH13600.1.1	RR_PE0050_ZBED2_ChIP_1	ChIP	1		Plate_1_B7_S50_R2_001.fastq.gz	DSC	2
THC_0100	pTH13896	RFX8	pTH13896.1.2	RR_PE0051_RFX8_ChIP_2	CHIP 	2		Plate_1_C7_S51_R2_001.fastq.gz	DSC	2
THC_0101	pTH13600	ZBED2	pTH13600.1.2	RR_PE0058_ZBED2_ChIP_2	ChIP	2		Plate_1_B8_S58_R2_001.fastq.gz	DSC	2
THC_0102	pTH13680	ZNF318	pTH13680.1.1	RR_PE0061_ZNF318_ChIP_1	ChIP	1		Plate_1_E8_S61_R1_001.fastq.gz	DSC	2
THC_0103	pTH13616	AKAP8	pTH13616.1.2	RR_PE0062_AKAP8_ChIP_2	CHIP 	2		Plate_1_F8_S62_R1_001.fastq.gz	DSC	2
THC_0104	pTH13796	TIGD3	pTH13796.1.1	RR_PE0063_TIGD3_ChIP_1	ChIP	1		Plate_1_G8_S63_R1_001.fastq.gz	DSC	2
THC_0105	pTH13785	ZSCAN18	pTH13785.1.2	RR_PE0064_ZSCAN18_ChIP_2	ChIP	2		Plate_1_H8_S64_R1_001.fastq.gz	DSC	2
THC_0106	pTH13887	SMYD3	pTH13887.1.1	RR_PE0065_SMYD3_ChIP_2	ChIP	1		Plate_1_A9_S65_R2_001.fastq.gz	DSC	2
THC_0107	pTH13784	ZSCAN12	pTH13784.1.1	RR_PE0066_ZSCAN12_ChIP_1	ChIP	1		Plate_1_B9_S66_R2_001.fastq.gz	DSC	2
THC_0108	pTH13616	AKAP8	pTH13616.1.1	RR_PE0067_AKAP8_ChIP_1	CHIP 	1		Plate_1_C9_S67_R1_001.fastq.gz	DSC	2
THC_0109	pTH13618	ANKZF1	pTH13618.1.2	RR_PE0068_ANKZF1_ChIP_2	CHIP 	2		Plate_1_D9_S68_R1_001.fastq.gz	DSC	2
THC_0110	pTH13798	TIGD5	pTH13798.1.2	RR_PE0069_TIGD5_ChIP_2	ChIP	2		Plate_1_E9_S69_R2_001.fastq.gz	DSC	2
THC_0111	pTH13680	ZNF318	pTH13680.1.2	RR_PE0070_ZNF318_ChIP_2	ChIP	2		Plate_1_F9_S70_R1_001.fastq.gz	DSC	2
THC_0112	pTH16503	ZSCAN4	pTH16503.1.1	RR_PE0072_ZSCAN4_ChIP_1	ChIP	1		Plate_1_H9_S72_R2_001.fastq.gz	DSC	2
THC_0113	pTH13797	TIGD4	pTH13797.1.1	RR_PE0073_TIGD4_ChIP_1	ChIP	1		Plate_1_A10_S73_R2_001.fastq.gz	DSC	2
THC_0114	pTH13649	ZBTB47	pTH13649.1.2	RR_PE0077_ZBTB47_ChIP_2	ChIP	2		Plate_1_E10_S77_R2_001.fastq.gz	DSC	2
THC_0116	pTH13604	ZBED9	pTH13604.1.2	RR_PE0081_ZBED9_ChIP_2	ChIP	2		Plate_1_A11_S81_R1_001.fastq.gz	DSC	2
THC_0117	pTH13612	BATF2	pTH13612.1.2	RR_PE0082_BATF2_ChIP_2	CHIP 	2		Plate_1_B11_S82_R2_001.fastq.gz	DSC	2
THC_0118	pTH13612	BATF2	pTH13612.1.1	RR_PE0083_BATF2_ChIP_1	CHIP 	1		Plate_1_C11_S83_R1_001.fastq.gz	DSC	2
THC_0119	pTH13668	ZNF215	pTH13668.1.1	RR_PE0086_ZNF215_ChIP_1	ChIP	1		Plate_1_F11_S86_R1_001.fastq.gz	DSC	2
THC_0120	pTH13817	ADNP2	pTH13817.1.2	RR_PE0087_ADNP2_ChIP_2	CHIP 	2		Plate_1_G11_S87_R1_001.fastq.gz	DSC	2
THC_0121	pTH14538	RFX5	pTH14538.1.2	RR_PE0088_RXF5_ChIP_2	CHIP 	2		Plate_1_H11_S88_R2_001.fastq.gz	DSC	2
THC_0122	pTH13896	RFX8	pTH13896.1.2	RR_PE0089_RFX8_INPUT_2	INPUT	2	negative control sample	Plate_1_A12_S89_R2_001.fastq.gz	DSC	2
THC_0123	pTH13617	AKAP8L	pTH13617.1.1	RR_PE0090_AKAP8L_INPUT_1	INPUT	1	negative control sample	Plate_1_B12_S90_R1_001.fastq.gz	DSC	2
THC_0124	pTH13618	ANKZF1	pTH13618.1.1	RR_PE0091_ANKZF1_INPUT_1	INPUT	1	negative control sample	Plate_1_C12_S91_R1_001.fastq.gz	DSC	2
THC_0125	pTH13796	TIGD3	pTH13796.1.1	RR_PE0092_TIGD3_INPUT_1	INPUT	1	negative control sample	Plate_1_D12_S92_R2_001.fastq.gz	DSC	2
THC_0126	pTH13599	SGSM2	pTH13599.1.1	RR_PE0093_SGSM2_INPUT_1	INPUT	1	negative control sample	Plate_1_E12_S93_R1_001.fastq.gz	DSC	2
