ID	TF	Peaks(/mnt/space/ivanyev/egrid/dfs/ctrl-subsampled0.02/peaks-interval)	RawFiles(/mnt/space/hughes/March2022/)	macs2-paired-end-peak-count	gem-peak-count	sissrs-peak-count	cpics-peak-count	QC.estFragLen	QC.FRiP_MACS2-PE	QC.FRiP_GEM	QC.FRiP_SISSRS	QC.FRiP_CPICS	QC.NRF	QC.NSC	QC.PBC1	QC.PBC2	QC.RSC	align_count	align_percent	read_count
EXP997160	ZNF335	PEAKS997160	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13682_ZNF335_ChIP2_S10_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13682_ZNF335_ChIP2_S10_L001_R2_001.fastq.gz	20566	8396	11000	12575	250	0.059155560432659	0.016880805122866	0.013318755343968	0.017840363866421	0.99641	1.058947	0.996585	303.051912	1.30991	43328966	83.9985024529971	51583022
EXP997161	ZNF43	PEAKS997161	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13693_ZNF43_ChIP2_S11_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13693_ZNF43_ChIP2_S11_L001_R2_001.fastq.gz	8	0	2	2	265	0.000219097030511	0	7.0175209955456E-07	1.35337904914094E-06	0.99716	1.007315	0.997605	437.451451	1.270909	50412966	86.7120597630934	58138356
EXP997162	ZNF526	PEAKS997162	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13708_ZNF526_ChIP2_S12_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13708_ZNF526_ChIP2_S12_L001_R2_001.fastq.gz	5169	1978	2722	2266	225	0.014240799289728	0.005644895159178	0.002931653812609	0.005117367752898	0.996466	1.041065	0.997083	373.718652	1.317726	44633490	83.7933471820284	53266150
EXP997163	EGFP_OLD	PEAKS997163	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/16502_EGFP_OLD_ChIP2_S13_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/16502_EGFP_OLD_ChIP2_S13_L001_R2_001.fastq.gz	15	0	5	0	230	0.000487828678782	0	1.89984615563971E-06	0	0.996656	1.008603	0.997165	371.843058	1.274112	58398760	86.8008146251063	67279046
EXP997164	ZNF568	PEAKS997164	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13712_ZNF568_ChIP2_S14_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13712_ZNF568_ChIP2_S14_L001_R2_001.fastq.gz	11	1	8	2	240	3.25176346060387E-05	3.99261543593926E-06	2.39556926156355E-06	1.90758293050431E-06	0.996985	1.007011	0.99733	389.767865	1.226699	57499516	86.6683536238469	66344304
EXP997165	ZNF57	PEAKS997165	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13714_ZNF57_ChIP1_S15_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13714_ZNF57_ChIP1_S15_L001_R2_001.fastq.gz	2713	1878	1662	1249	250	0.010044348141899	0.007128947258908	0.001729142470179	0.005597191378926	0.99441	1.073116	0.996018	304.042065	1.274781	53119976	85.313877477653	62264168
EXP997166	ZNF578	PEAKS997166	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13716_ZNF578_ChIP2_S16_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13716_ZNF578_ChIP2_S16_L001_R2_001.fastq.gz	11188	2922	2322	411	320	0.023611221855325	0.01112822031705	0.002469724041703	0.000881558994253	0.994609	1.101761	0.995457	250.750968	1.800153	54230844	85.798726566103	63207050
EXP997167	ZNF587B	PEAKS997167	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13718_ZNF587B_ChIP1_S17_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13718_ZNF587B_ChIP1_S17_L001_R2_001.fastq.gz	67	27	33	67	230	0.000592609386038	5.53436539374662E-05	1.67578662838615E-05	8.20281543894749E-05	0.997203	1.009304	0.997638	449.02422	1.327069	49970130	84.0074195321298	59482996
EXP997168	ZNF598	PEAKS997168	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13720_ZNF598_ChIP2_S18_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13720_ZNF598_ChIP2_S18_L001_R2_001.fastq.gz	13	0	0	19	210	0.0006720304704	0	0	1.37664879909171E-05	0.997225	1.008467	0.997698	459.823689	1.211485	47481872	83.9418500379633	56565196
EXP997169	ZNF618	PEAKS997169	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13724_ZNF618_ChIP2_S19_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13724_ZNF618_ChIP2_S19_L001_R2_001.fastq.gz	932	14	193	864	230	0.001294392442028	2.18643245374214E-05	9.30149895823822E-05	0.000720240165558	0.997742	1.01114	0.997896	494.276478	1.213934	42499750	84.0387289124826	50571624
EXP997170	ZNF630	PEAKS997170	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13726_ZNF630_ChIP2_S20_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13726_ZNF630_ChIP2_S20_L001_R2_001.fastq.gz	33	10	13	7	215	0.000840077128542	3.79943558897219E-05	6.4541694299848E-06	1.25430085148761E-05	0.997408	1.009569	0.997887	506.062411	1.209186	42534554	82.4324819826887	51599264
EXP997171	ZNF644	PEAKS997171	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13728_ZNF644_ChIP1_S21_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13728_ZNF644_ChIP1_S21_L001_R2_001.fastq.gz	37	0	18	6	235	0.000358471180383	0	7.94628391045811E-06	7.15659109948091E-06	0.997119	1.00755	0.997455	411.106636	1.200849	53157470	86.5236599270816	61436918
EXP997172	ZNF654	PEAKS997172	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13731_ZNF654_ChIP2_S22_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13731_ZNF654_ChIP2_S22_L001_R2_001.fastq.gz	47386	27305	16471	29197	200	0.181501951796405	0.068395473153924	0.02514758270853	0.067288881098939	0.989922	1.27857	0.990577	112.774336	1.086281	45025258	81.0365659367676	55561656
EXP997173	ZNF665	PEAKS997173	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13733_ZNF665_ChIP2_S23_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13733_ZNF665_ChIP2_S23_L001_R2_001.fastq.gz	297	268	298	308	245	0.001278245608441	0.000723793379666	0.000254388758161	0.000893511562381	0.997281	1.012612	0.997585	435.769548	1.219769	48523272	86.4396518761983	56135432
EXP997174	ZNF672	PEAKS997174	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13735_ZNF672_ChIP2_S24_L001_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13735_ZNF672_ChIP2_S24_L001_R2_001.fastq.gz	64	37	71	93	265	0.000164980121288	7.56909791807757E-05	4.72932092139623E-05	0.000146903848482	0.997425	1.007839	0.997694	452.531722	1.317545	47035928	85.6790108434499	54897842
EXP997175	ZNF678	PEAKS997175	LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13737_ZNF678_ChIP2_S226_L003_R1_001.fastq.gz;LM6H1YX/RAZ19458.20220317/220309_A00987_0384_AHCVLNDSX3/13737_ZNF678_ChIP2_S226_L003_R2_001.fastq.gz	378	456	425	18472	230	0.002939145758146	0.00252488041986	0.000658993700494	0.013895083071337	0.997866	1.043801	0.998039	544.430075	1.341864	39363980	79.8268403184558	49311710
