experiment ID	pTH#	Gene ID	Sample ID	Submitted sample label	ChIP/Inpt	Replicate #	Comments	Data File ID1	Data File ID2	Sequencing Facility			
THC_0085	pTH14538	RFX5	pTH14538.1.1	RR_PE0028_RXF5_ChIP_3	ChIP	1		Plate_1_D4_S28_R1_001.fastq.gz	Plate_1_D4_S28_R2_001.fastq.gz	DSC			
THC_0086	pTH13633	PEG3	pTH13633.1.2	RR_PE0031_PEG3_ChIP_2	ChIP	2		Plate_1_G4_S31_R2_001.fastq.gz	Plate_1_G4_S31_R1_001.fastq.gz	DSC			
THC_0087	pTH13592	DNTTIP1	pTH13592.1.2	RR_PE0033_DNMTTIP1_ChIP_2	ChIP	2		Plate_1_A5_S33_R1_001.fastq.gz	Plate_1_A5_S33_R2_001.fastq.gz	DSC			
THC_0088	pTH13593	GLYR1	pTH13593.1.2	RR_PE0034_GLYR1_ChIP_2	ChIP	2		Plate_1_B5_S34_R1_001.fastq.gz	Plate_1_B5_S34_R2_001.fastq.gz	DSC			
THC_0089	pTH13692	ZNF428	pTH13692.1.1	RR_PE0035_ZNF428_INPUT_1	INPUT	1		Plate_1_C5_S35_R2_001.fastq.gz	Plate_1_C5_S35_R1_001.fastq.gz	DSC			
THC_0090	pTH13900	SP140L	pTH13900.1.2	RR_PE0036_SP140L_ChIP_2	ChIP	2		Plate_1_D5_S36_R2_001.fastq.gz	Plate_1_D5_S36_R1_001.fastq.gz	DSC			
THC_0091	pTH13903	THAP11	pTH13903.1.1	RR_PE0037_THAPII_INPUT_1	INPUT	1		Plate_1_E5_S37_R1_001.fastq.gz	Plate_1_E5_S37_R2_001.fastq.gz	DSC			
THC_0092	pTH13893	THYN1	pTH13893.1.2	RR_PE0038_THYN1_ChIP_2	ChIP	2		Plate_1_F5_S38_R2_001.fastq.gz	Plate_1_F5_S38_R1_001.fastq.gz	DSC			
THC_0093	pTH13614	AC008770	pTH13614.1.1	RR_PE0039_AC008770_INPUT_1	INPUT	1		Plate_1_G5_S39_R1_001.fastq.gz	Plate_1_G5_S39_R2_001.fastq.gz	DSC			
THC_0094	pTH13692	ZNF428	pTH13692.1.2	RR_PE0044_ZNF428_INPUT_2	INPUT	2		Plate_1_D6_S44_R2_001.fastq.gz	Plate_1_D6_S44_R1_001.fastq.gz	DSC			
THC_0096	pTH13893	THYN1	pTH13893.1.2	RR_PE0046_THYN1_INPUT_2	INPUT	2		Plate_1_F6_S46_R2_001.fastq.gz	Plate_1_F6_S46_R1_001.fastq.gz	DSC			
THC_0097	pTH13841	TERB1	pTH13841.1.2	RR_PE0047_TERB1_INPUT_2	INPUT	2		Plate_1_G6_S47_R2_001.fastq.gz	Plate_1_G6_S47_R1_001.fastq.gz	DSC			
THC_0098	pTH13592	DNTTIP1	pTH13592.1.2	RR_PE0048_DNMTTIP1_INPUT_2	INPUT	2		Plate_1_H6_S48_R2_001.fastq.gz	Plate_1_H6_S48_R1_001.fastq.gz	DSC			
THC_0099	pTH13600	ZBED2	pTH13600.1.1	RR_PE0050_ZBED2_ChIP_1	ChIP	1		Plate_1_B7_S50_R2_001.fastq.gz	Plate_1_B7_S50_R1_001.fastq.gz	DSC			
THC_0100	pTH13896	RFX8	pTH13896.1.2	RR_PE0051_RFX8_ChIP_2	CHIP 	2		Plate_1_C7_S51_R2_001.fastq.gz	Plate_1_C7_S51_R1_001.fastq.gz	DSC			
THC_0101	pTH13600	ZBED2	pTH13600.1.2	RR_PE0058_ZBED2_ChIP_2	ChIP	2		Plate_1_B8_S58_R2_001.fastq.gz	Plate_1_B8_S58_R1_001.fastq.gz	DSC			
THC_0102	pTH13680	ZNF318	pTH13680.1.1	RR_PE0061_ZNF318_ChIP_1	ChIP	1		Plate_1_E8_S61_R1_001.fastq.gz	Plate_1_E8_S61_R2_001.fastq.gz	DSC			
THC_0103	pTH13616	AKAP8	pTH13616.1.2	RR_PE0062_AKAP8_ChIP_2	CHIP 	2		Plate_1_F8_S62_R1_001.fastq.gz	Plate_1_F8_S62_R2_001.fastq.gz	DSC			
THC_0104	pTH13796	TIGD3	pTH13796.1.1	RR_PE0063_TIGD3_ChIP_1	ChIP	1		Plate_1_G8_S63_R1_001.fastq.gz	Plate_1_G8_S63_R2_001.fastq.gz	DSC			
THC_0105	pTH13785	ZSCAN18	pTH13785.1.2	RR_PE0064_ZSCAN18_ChIP_2	ChIP	2		Plate_1_H8_S64_R1_001.fastq.gz	Plate_1_H8_S64_R2_001.fastq.gz	DSC			
THC_0106	pTH13887	SMYD3	pTH13887.1.1	RR_PE0065_SMYD3_ChIP_2	ChIP	1		Plate_1_A9_S65_R2_001.fastq.gz	Plate_1_A9_S65_R1_001.fastq.gz	DSC			
THC_0107	pTH13784	ZSCAN12	pTH13784.1.1	RR_PE0066_ZSCAN12_ChIP_1	ChIP	1		Plate_1_B9_S66_R2_001.fastq.gz	Plate_1_B9_S66_R1_001.fastq.gz	DSC			
THC_0108	pTH13616	AKAP8	pTH13616.1.1	RR_PE0067_AKAP8_ChIP_1	CHIP 	1		Plate_1_C9_S67_R1_001.fastq.gz	Plate_1_C9_S67_R2_001.fastq.gz	DSC			
THC_0109	pTH13618	ANKZF1	pTH13618.1.2	RR_PE0068_ANKZF1_ChIP_2	CHIP 	2		Plate_1_D9_S68_R1_001.fastq.gz	Plate_1_D9_S68_R2_001.fastq.gz	DSC			
THC_0110	pTH13798	TIGD5	pTH13798.1.2	RR_PE0069_TIGD5_ChIP_2	ChIP	2		Plate_1_E9_S69_R2_001.fastq.gz	Plate_1_E9_S69_R1_001.fastq.gz	DSC			
THC_0111	pTH13680	ZNF318	pTH13680.1.2	RR_PE0070_ZNF318_ChIP_2	ChIP	2		Plate_1_F9_S70_R1_001.fastq.gz	Plate_1_F9_S70_R2_001.fastq.gz	DSC			
THC_0112	NA	ZSCAN4	ZSCAN4.1.1	RR_PE0072_ZSCAN4_ChIP_1	ChIP	1	There is a GST tagged plasmid but not the GFP tagged in the plasmid list. I think we did not order this one because I had found the GFP tagged in Greenblatt's collection. That is why I kept it here.	Plate_1_H9_S72_R2_001.fastq.gz	Plate_1_H9_S72_R1_001.fastq.gz	DSC			
THC_0113	pTH13797	TIGD4	pTH13797.1.1	RR_PE0073_TIGD4_ChIP_1	ChIP	1		Plate_1_A10_S73_R2_001.fastq.gz	Plate_1_A10_S73_R1_001.fastq.gz	DSC			
