experiment ID	pTH#	Gene ID	Sample ID	Submitted sample label	ChIP/Inpt	Replicate #	Comments	Data File ID1	Data File ID2	Sequencing Facility			
THC_0188	pTH13596	SETBP1	pTH13596.1.1	SETBP1ChIP1	ChIP	1		SETBP1ChIP1_IGO_10521_4_S114_R2_001.fastq.gz	SETBP1ChIP1_IGO_10521_4_S114_R1_001.fastq.gz	MSK			
THC_0189	pTH13597	C11orf95	pTH13597.1.1	C11orf95ChIP1	ChIP	1		C11orf95ChIP1_IGO_10521_5_S116_R2_001.fastq.gz	C11orf95ChIP1_IGO_10521_5_S116_R1_001.fastq.gz	MSK			
THC_0190	pTH13605	BHLHA9	pTH13605.1.1	BHLHA9ChIP1	ChIP	1		BHLHA9ChIP1_IGO_10521_6_S89_R1_001.fastq.gz	BHLHA9ChIP1_IGO_10521_6_S89_R2_001.fastq.gz	MSK			
THC_0191	pTH13615	AC092835	pTH13615.1.1	AC092835ChIP1	ChIP	1		AC092835ChIP1_IGO_10521_7_S90_R1_001.fastq.gz	AC092835ChIP1_IGO_10521_7_S90_R2_001.fastq.gz	MSK			
THC_0192	pTH13624	DZIP1	pTH13624.1.1	DZIP1ChIP1	ChIP	1		DZIP1ChIP1_IGO_10521_8_S47_R2_001.fastq.gz	DZIP1ChIP1_IGO_10521_8_S47_R1_001.fastq.gz	MSK			
THC_0193	pTH13899	SP140	pTH13899.1.2	SP140ChIP2	ChIP	2		SP140ChIP2_IGO_10521_9_S91_R1_001.fastq.gz	SP140ChIP2_IGO_10521_9_S91_R2_001.fastq.gz	MSK			
THC_0194	pTH13799	TIGD7	pTH13799.1.2	TIGD7ChIP2	ChIP	2		TIGD7ChIP2_IGO_10521_10_S42_R1_001.fastq.gz	TIGD7ChIP2_IGO_10521_10_S42_R2_001.fastq.gz	MSK			
THC_0195	pTH14537	ELF3	pTH14537.1.2	ELF3ChIP2	ChIP	2		ELF3ChIP2_IGO_10521_11_S62_R1_001.fastq.gz	ELF3ChIP2_IGO_10521_11_S62_R2_001.fastq.gz	MSK			
THC_0196	pTH13596	SETBP1	pTH13596.1.2	SETBP1ChIP2	ChIP	2		SETBP1ChIP2_IGO_10521_12_S10_R2_001.fastq.gz	SETBP1ChIP2_IGO_10521_12_S10_R1_001.fastq.gz	MSK			
THC_0197	pTH13597	C11orf95	pTH13597.1.2	C11orf95ChIP2	ChIP	2		C11orf95ChIP2_IGO_10521_13_S2_R2_001.fastq.gz	C11orf95ChIP2_IGO_10521_13_S2_R1_001.fastq.gz	MSK			
THC_0198	pTH13605	BHLHA9	pTH13605.1.2	BHLHA9ChIP2	ChIP	2		BHLHA9ChIP2_IGO_10521_14_S70_R1_001.fastq.gz	BHLHA9ChIP2_IGO_10521_14_S70_R2_001.fastq.gz	MSK			
THC_0199	pTH13615	AC092835	pTH13615.1.2	AC092835ChIP2	ChIP	2		AC092835ChIP2_IGO_10521_15_S98_R1_001.fastq.gz	AC092835ChIP2_IGO_10521_15_S98_R2_001.fastq.gz	MSK			
THC_0200	pTH13624	DZIP1	pTH13624.1.2	DZIP1ChIP2	ChIP	2		DZIP1ChIP2_IGO_10521_16_S45_R2_001.fastq.gz	DZIP1ChIP2_IGO_10521_16_S45_R1_001.fastq.gz	MSK			
THC_0202	pTH13702	ZNF500	pTH13702.1.1	ZNF500ChIP1	ChIP	1		ZNF500ChIP1_IGO_10521_18_S73_R2_001.fastq.gz	ZNF500ChIP1_IGO_10521_18_S73_R1_001.fastq.gz	MSK			
THC_0203	pTH13703	ZNF503	pTH13703.1.1	ZNF503ChIP1	ChIP	1		ZNF503ChIP1_IGO_10521_19_S74_R1_001.fastq.gz	ZNF503ChIP1_IGO_10521_19_S74_R2_001.fastq.gz	MSK			
THC_0204	pTH13704	ZNF507	pTH13704.1.1	ZNF507ChIP1	ChIP	1		ZNF507ChIP1_IGO_10521_20_S35_R2_001.fastq.gz	ZNF507ChIP1_IGO_10521_20_S35_R1_001.fastq.gz	MSK			
THC_0205	pTH13694	ZNF446	pTH13694.1.1	ZNF446ChIP1	ChIP	1		ZNF446ChIP1_IGO_10521_21_S100_R1_001.fastq.gz	ZNF446ChIP1_IGO_10521_21_S100_R2_001.fastq.gz	MSK			
THC_0206	pTH13721	ZNF606	pTH13721.1.1	ZNF606ChIP1	ChIP	1		ZNF606ChIP1_IGO_10521_22_S5_R1_001.fastq.gz	ZNF606ChIP1_IGO_10521_22_S5_R2_001.fastq.gz	MSK			
THC_0207	pTH13758	ZNF750	pTH13758.1.1	ZNF750ChIP1	ChIP	1		ZNF750ChIP1_IGO_10521_23_S36_R1_001.fastq.gz	ZNF750ChIP1_IGO_10521_23_S36_R2_001.fastq.gz	MSK			
THC_0208	pTH13770	ZNF827	pTH13770.1.1	ZNF827ChIP1	ChIP	1		ZNF827ChIP1_IGO_10521_24_S101_R2_001.fastq.gz	ZNF827ChIP1_IGO_10521_24_S101_R1_001.fastq.gz	MSK			
THC_0210	pTH13702	ZNF500	pTH13702.1.2	ZNF500ChIP2	ChIP	2		ZNF500ChIP2_IGO_10521_26_S6_R2_001.fastq.gz	ZNF500ChIP2_IGO_10521_26_S6_R1_001.fastq.gz	MSK			
THC_0211	pTH13703	ZNF503	pTH13703.1.2	ZNF503ChIP2	ChIP	2		ZNF503ChIP2_IGO_10521_27_S102_R2_001.fastq.gz	ZNF503ChIP2_IGO_10521_27_S102_R1_001.fastq.gz	MSK			
THC_0212	pTH13704	ZNF507	pTH13704.1.2	ZNF507ChIP2	ChIP	2		ZNF507ChIP2_IGO_10521_28_S75_R2_001.fastq.gz	ZNF507ChIP2_IGO_10521_28_S75_R1_001.fastq.gz	MSK			
THC_0213	pTH13694	ZNF446	pTH13694.1.2	ZNF446ChIP2	ChIP	2		ZNF446ChIP2_IGO_10521_29_S38_R2_001.fastq.gz	ZNF446ChIP2_IGO_10521_29_S38_R1_001.fastq.gz	MSK			
THC_0214	pTH13721	ZNF606	pTH13721.1.2	ZNF606ChIP2	ChIP	2		ZNF606ChIP2_IGO_10521_30_S76_R2_001.fastq.gz	ZNF606ChIP2_IGO_10521_30_S76_R1_001.fastq.gz	MSK			
THC_0215	pTH13758	ZNF750	pTH13758.1.2	ZNF750ChIP2	ChIP	2		ZNF750ChIP2_IGO_10521_31_S77_R2_001.fastq.gz	ZNF750ChIP2_IGO_10521_31_S77_R1_001.fastq.gz	MSK			
THC_0216	pTH13770	ZNF827	pTH13770.1.2	ZNF827ChIP2	ChIP	2		ZNF827ChIP2_IGO_10521_32_S78_R2_001.fastq.gz	ZNF827ChIP2_IGO_10521_32_S78_R1_001.fastq.gz	MSK			
THC_0217	pTH13611	POGK	pTH13611.1.1	POGKChIP1	ChIP	1		POGKChIP1_IGO_10521_33_S79_R1_001.fastq.gz	POGKChIP1_IGO_10521_33_S79_R2_001.fastq.gz	MSK			
THC_0218	pTH13588	KDM5B	pTH13588.1.1	KDM5BChIP1	ChIP	1		KDM5BChIP1_IGO_10521_34_S80_R1_001.fastq.gz	KDM5BChIP1_IGO_10521_34_S80_R2_001.fastq.gz	MSK			
THC_0219	pTH13603	ZBED5	pTH13603.1.1	ZBTB5ChIP1	ChIP	1		ZBTB5ChIP1_IGO_10521_35_S81_R1_001.fastq.gz	ZBTB5ChIP1_IGO_10521_35_S81_R2_001.fastq.gz	MSK			
THC_0220	pTH13590	AHCTF1	pTH13590.1.1	AHCTF1ChIP1	ChIP	1		AHCTF1ChIP1_IGO_10521_36_S82_R1_001.fastq.gz	AHCTF1ChIP1_IGO_10521_36_S82_R2_001.fastq.gz	MSK			
THC_0221	pTH13630	KIN	pTH13630.1.1	KINChIP1	ChIP	1		KINChIP1_IGO_10521_37_S103_R2_001.fastq.gz	KINChIP1_IGO_10521_37_S103_R1_001.fastq.gz	MSK			
THC_0222	pTH13634	PRDM10	pTH13634.1.1	PRDM10ChIP1	ChIP	1		PRDM10ChIP1_IGO_10521_38_S104_R2_001.fastq.gz	PRDM10ChIP1_IGO_10521_38_S104_R1_001.fastq.gz	MSK			
THC_0223	pTH13635	PRDM13	pTH13635.1.1	PRDM13ChIP1	ChIP	1		PRDM13ChIP1_IGO_10521_39_S105_R2_001.fastq.gz	PRDM13ChIP1_IGO_10521_39_S105_R1_001.fastq.gz	MSK			
THC_0224	pTH13801	CAMTA2	pTH13801.1.1	CAMTA2ChIP1	ChIP	1		CAMTA2ChIP1_IGO_10521_40_S83_R2_001.fastq.gz	CAMTA2ChIP1_IGO_10521_40_S83_R1_001.fastq.gz	MSK			
THC_0225	pTH13611	POGK	pTH13611.1.2	POGKChIP2	ChIP	2		POGKChIP2_IGO_10521_41_S106_R2_001.fastq.gz	POGKChIP2_IGO_10521_41_S106_R1_001.fastq.gz	MSK			
THC_0226	pTH13588	KDM5B	pTH13588.1.2	KDM5BChIP2	ChIP	2		KDM5BChIP2_IGO_10521_42_S84_R1_001.fastq.gz	KDM5BChIP2_IGO_10521_42_S84_R2_001.fastq.gz	MSK			
THC_0227	pTH13603	ZBED5	pTH13603.1.2	ZBTB5ChIP2	ChIP	2		ZBTB5ChIP2_IGO_10521_43_S107_R2_001.fastq.gz	ZBTB5ChIP2_IGO_10521_43_S107_R1_001.fastq.gz	MSK			
THC_0228	pTH13590	AHCTF1	pTH13590.1.2	AHCTF1ChIP2	ChIP	2		AHCTF1ChIP2_IGO_10521_44_S108_R2_001.fastq.gz	AHCTF1ChIP2_IGO_10521_44_S108_R1_001.fastq.gz	MSK			
THC_0229	pTH13630	KIN	pTH13630.1.2	KINChIP2	ChIP	2		KINChIP2_IGO_10521_45_S109_R2_001.fastq.gz	KINChIP2_IGO_10521_45_S109_R1_001.fastq.gz	MSK			
THC_0230	pTH13634	PRDM10	pTH13634.1.2	PRDM10ChIP2	ChIP	2		PRDM10ChIP2_IGO_10521_46_S110_R1_001.fastq.gz	PRDM10ChIP2_IGO_10521_46_S110_R2_001.fastq.gz	MSK			
THC_0231	pTH13799	TIGD7	pTH13799.1.2	PRDM13ChIP2	ChIP	2		PRDM13ChIP2_IGO_10521_47_S111_R2_001.fastq.gz	PRDM13ChIP2_IGO_10521_47_S111_R1_001.fastq.gz	MSK			
THC_0232	pTH13801	CAMTA2	pTH13801.1.2	CAMTA2ChIP2	ChIP	2		CAMTA2ChIP2_IGO_10521_48_S112_R1_001.fastq.gz	CAMTA2ChIP2_IGO_10521_48_S112_R2_001.fastq.gz	MSK			
THC_0233	pTH13591	AKNA	pTH13591.1.1	AKNAChIP1	ChIP	1		AKNAChIP1_IGO_10521_49_S113_R2_001.fastq.gz	AKNAChIP1_IGO_10521_49_S113_R1_001.fastq.gz	MSK			
THC_0234	pTH13606	NCOA1	pTH13606.1.1	NCOA1ChIP1	ChIP	1		NCOA1ChIP1_IGO_10521_50_S85_R2_001.fastq.gz	NCOA1ChIP1_IGO_10521_50_S85_R1_001.fastq.gz	MSK			
THC_0235	pTH13802	CXXC4	pTH13802.1.1	CxxC4ChIP1	ChIP	1		CxxC4ChIP1_IGO_10521_51_S86_R2_001.fastq.gz	CxxC4ChIP1_IGO_10521_51_S86_R1_001.fastq.gz	MSK			
THC_0236	pTH13619	ATMIN	pTH13619.1.1	ATMINChIP1	ChIP	1		ATMINChIP1_IGO_10521_52_S87_R1_001.fastq.gz	ATMINChIP1_IGO_10521_52_S87_R2_001.fastq.gz	MSK			
THC_0237	pTH13602	ZBED4	pTH13602.1.1	ZBED4ChIP1	ChIP	1		ZBED4ChIP1_IGO_10521_53_S88_R2_001.fastq.gz	ZBED4ChIP1_IGO_10521_53_S88_R1_001.fastq.gz	MSK			
THC_0238	pTH13622	CHAMP1	pTH13622.1.1	CHAMP1ChIP1	ChIP	1		CHAMP1ChIP1_IGO_10521_54_S23_R2_001.fastq.gz	CHAMP1ChIP1_IGO_10521_54_S23_R1_001.fastq.gz	MSK			
THC_0239	pTH13795	JRK	pTH13795.1.1	JRKChIP1	ChIP	1		JRKChIP1_IGO_10521_55_S8_R1_001.fastq.gz	JRKChIP1_IGO_10521_55_S8_R2_001.fastq.gz	MSK			
THC_0240	pTH13803	FBXL19	pTH13803.1.1	FBXL19ChIP1	ChIP	1		FBXL19ChIP1_IGO_10521_56_S9_R2_001.fastq.gz	FBXL19ChIP1_IGO_10521_56_S9_R1_001.fastq.gz	MSK			
THC_0241	pTH13591	AKNA	pTH13591.1.2	AKNAChIP2	ChIP	2		AKNAChIP2_IGO_10521_57_S115_R1_001.fastq.gz	AKNAChIP2_IGO_10521_57_S115_R2_001.fastq.gz	MSK			
THC_0242	pTH13606	NCOA1	pTH13606.1.2	NCOA1ChIP2	ChIP	2		NCOA1ChIP2_IGO_10521_58_S10_R1_001.fastq.gz	NCOA1ChIP2_IGO_10521_58_S10_R2_001.fastq.gz	MSK			
THC_0243	pTH13802	CXXC4	pTH13802.1.2	CxxC4ChIP2	ChIP	2		CxxC4ChIP2_IGO_10521_59_S11_R2_001.fastq.gz	CxxC4ChIP2_IGO_10521_59_S11_R1_001.fastq.gz	MSK			
THC_0244	pTH13619	ATMIN	pTH13619.1.2	ATMINChIP2	ChIP	2		ATMINChIP2_IGO_10521_60_S12_R1_001.fastq.gz	ATMINChIP2_IGO_10521_60_S12_R2_001.fastq.gz	MSK			
THC_0245	pTH13602	ZBED4	pTH13602.1.2	ZBED4ChIP2	ChIP	2		ZBED4ChIP2_IGO_10521_61_S13_R2_001.fastq.gz	ZBED4ChIP2_IGO_10521_61_S13_R1_001.fastq.gz	MSK			
THC_0246	pTH13622	CHAMP1	pTH13622.1.2	CHAMP1ChIP2	ChIP	2		CHAMP1ChIP2_IGO_10521_62_S117_R2_001.fastq.gz	CHAMP1ChIP2_IGO_10521_62_S117_R1_001.fastq.gz	MSK			
THC_0247	pTH13795	JRK	pTH13795.1.2	JRKChIP2	ChIP	2		JRKChIP2_IGO_10521_63_S24_R1_001.fastq.gz	JRKChIP2_IGO_10521_63_S24_R2_001.fastq.gz	MSK			
THC_0248	pTH13803	FBXL19	pTH13803.1.2	FBXL19ChIP2	ChIP	2		FBXL19ChIP2_IGO_10521_64_S14_R1_001.fastq.gz	FBXL19ChIP2_IGO_10521_64_S14_R2_001.fastq.gz	MSK			
THC_0249	pTH13800	CAMTA1	pTH13800.1.1	CAMTA1ChIP1	ChIP	1		CAMTA1ChIP1_IGO_10521_65_S25_R2_001.fastq.gz	CAMTA1ChIP1_IGO_10521_65_S25_R1_001.fastq.gz	MSK			
THC_0250	pTH13595	SCML4	pTH13595.1.1	SCML4ChIP1	ChIP	1		SCML4ChIP1_IGO_10521_66_S15_R2_001.fastq.gz	SCML4ChIP1_IGO_10521_66_S15_R1_001.fastq.gz	MSK			
THC_0251	pTH13904	THAP2	pTH13904.1.1	THAP2ChIP1	ChIP	1		THAP2ChIP1_IGO_10521_67_S16_R2_001.fastq.gz	THAP2ChIP1_IGO_10521_67_S16_R1_001.fastq.gz	MSK			
THC_0254	pTH13703	ZNF503	pTH13703.1.1	ZNF503Input1	INPUT	1		ZNF503Input1_IGO_10521_70_S18_R2_001.fastq.gz	ZNF503Input1_IGO_10521_70_S18_R1_001.fastq.gz	MSK			
THC_0255	pTH13611	POGK	pTH13611.1.1	POGKInput1	INPUT	1		POGKInput1_IGO_10521_71_S19_R2_001.fastq.gz	POGKInput1_IGO_10521_71_S19_R1_001.fastq.gz	MSK			
THC_0256	pTH13630	KIN	pTH13630.1.1	KINInput1	INPUT	1		KINInput1_IGO_10521_72_S20_R2_001.fastq.gz	KINInput1_IGO_10521_72_S20_R1_001.fastq.gz	MSK			
THC_0257	pTH13800	CAMTA1	pTH13800.1.2	CAMTA1ChIP2	ChIP	2		CAMTA1ChIP2_IGO_10521_73_S21_R1_001.fastq.gz	CAMTA1ChIP2_IGO_10521_73_S21_R2_001.fastq.gz	MSK			
THC_0258	pTH13595	SCML4	pTH13595.1.2	SCML4ChIP2	ChIP	2		SCML4ChIP2_IGO_10521_74_S26_R2_001.fastq.gz	SCML4ChIP2_IGO_10521_74_S26_R1_001.fastq.gz	MSK			
THC_0259	pTH13904	THAP2	pTH13904.1.2	THAP2ChIP2	ChIP	2		THAP2ChIP2_IGO_10521_75_S57_R2_001.fastq.gz	THAP2ChIP2_IGO_10521_75_S57_R1_001.fastq.gz	MSK			
THC_0262	pTH13603	ZBED5	pTH13603.1.1	ZBTB5Input1	INPUT	1		ZBTB5Input1_IGO_10521_78_S22_R2_001.fastq.gz	ZBTB5Input1_IGO_10521_78_S22_R1_001.fastq.gz	MSK			
THC_0263	pTH13590	AHCTF1	pTH13590.1.1	AHCTF1Input1	INPUT	1		AHCTF1Input1_IGO_10521_79_S58_R1_001.fastq.gz	AHCTF1Input1_IGO_10521_79_S58_R2_001.fastq.gz	MSK			
THC_0264	pTH13635	PRDM13	pTH13635.1.1	PRDM13Input1	INPUT	1		PRDM13Input1_IGO_10521_80_S28_R1_001.fastq.gz	PRDM13Input1_IGO_10521_80_S28_R2_001.fastq.gz	MSK			
THC_0265	pTH13635	PRDM13	pTH13635.1.2	PRDM13Input2	INPUT	2		PRDM13Input2_IGO_10521_81_S29_R2_001.fastq.gz	PRDM13Input2_IGO_10521_81_S29_R1_001.fastq.gz	MSK			
THC_0266	pTH13801	CAMTA2	pTH13801.1.2	CAMTA2Input2	INPUT	2		CAMTA2Input2_IGO_10521_82_S59_R2_001.fastq.gz	CAMTA2Input2_IGO_10521_82_S59_R1_001.fastq.gz	MSK			
THC_0267	pTH13619	ATMIN	pTH13619.1.2	ATMINInput2	INPUT	2		ATMINInput2_IGO_10521_83_S60_R2_001.fastq.gz	ATMINInput2_IGO_10521_83_S60_R1_001.fastq.gz	MSK			
THC_0268	pTH13606	NCOA1	pTH13606.1.2	NCOA1Input2	INPUT	2		NCOA1Input2_IGO_10521_84_S61_R1_001.fastq.gz	NCOA1Input2_IGO_10521_84_S61_R2_001.fastq.gz	MSK			
THC_0269	pTH13630	KIN	pTH13630.1.2	KINInput2	INPUT	2		KINInput2_IGO_10521_85_S23_R1_001.fastq.gz	KINInput2_IGO_10521_85_S23_R2_001.fastq.gz	MSK			
THC_0270	pTH13694	ZNF446	pTH13694.1.2	ZNF446Input2	INPUT	2		ZNF446Input2_IGO_10521_86_S24_R2_001.fastq.gz	ZNF446Input2_IGO_10521_86_S24_R1_001.fastq.gz	MSK			
THC_0271	pTH13888	SNAPC2	pTH13888.1.2	SNAPC2ChIP2	ChIP	2		SNAPC2ChIP2_IGO_10521_87_S25_R2_001.fastq.gz	SNAPC2ChIP2_IGO_10521_87_S25_R1_001.fastq.gz	MSK			
THC_0272	pTH13607	NCOA2	pTH13607.1.2	NCOA2ChIP2	ChIP	2		NCOA1?		MSK			
THC_0273	pTH13898	SP110	pTH13898.1.2	SP110ChIP2	ChIP	2		SP110ChIP2_IGO_10521_89_S30_R2_001.fastq.gz	SP110ChIP2_IGO_10521_89_S30_R1_001.fastq.gz	MSK			
THC_0274	pTH13723	ZNF609	pTH13723.1.1	ZNF609ChIP1	ChIP	1		ZNF609ChIP1_IGO_10521_90_S120_R1_001.fastq.gz	ZNF609ChIP1_IGO_10521_90_S120_R2_001.fastq.gz	MSK			
THC_0275	pTH13589	ARID2	pTH13589.1.2	ARID2ChIP2	ChIP	2		ARID2ChIP2_IGO_10521_91_S121_R2_001.fastq.gz	ARID2ChIP2_IGO_10521_91_S121_R1_001.fastq.gz	MSK			
THC_0276	pTH13623	CPXCR1	pTH13623.1.1	CXCR1ChIP1	ChIP	1		CXCR1ChIP1_IGO_10521_92_S48_R1_001.fastq.gz	CXCR1ChIP1_IGO_10521_92_S48_R2_001.fastq.gz	MSK			
THC_0277	pTH13603	ZBED5	pTH13603.1.1.2	ZBED5ChIP1RE	ChIP	1	repeated sequencing for pTH13603.1.1	only found ZBED5ChIP2		MSK			
THC_0278	pTH13603	ZBED5	pTH13603.1.2.2	ZBED5ChIP2RE	ChIP	2	repeated sequencing for pTH13603.1.2	ZBED5ChIP2RE_IGO_10521_154_S71_R1_001.fastq.gz	ZBED5ChIP2RE_IGO_10521_154_S71_R2_001.fastq.gz	MSK			
THC_0279	pTH13692	ZNF428	pTH13692.1.1.2	ZNF428ChIP1RE	ChIP	1	repeated sequencing for pTH13692.1.1	ZNF428ChIP1RE_IGO_10521_155_S4_R1_001.fastq.gz	ZNF428ChIP1RE_IGO_10521_155_S4_R2_001.fastq.gz	MSK			
THC_0280	pTH13692	ZNF428	pTH13692.1.2.2	ZNF428ChIP2RE	ChIP	2	repeated sequencing for pTH13692.1.2	ZNF428ChIP2RE_IGO_10521_156_S33_R2_001.fastq.gz	ZNF428ChIP2RE_IGO_10521_156_S33_R1_001.fastq.gz	MSK			
THC_0282	pTH13796	TIGD3	pTH13796.1.2.2	TIGD3ChIP2RE	ChIP	2	repeated sequencing for pTH13796.1.2	TIGD3ChIP2RE_IGO_10521_158_S22_R1_001.fastq.gz	TIGD3ChIP2RE_IGO_10521_158_S22_R2_001.fastq.gz	MSK			
													
													
Control samples :													
													
THC_0080	NA	YY1		RR_PE0019_YY1_ChIP_1	ChIP	1				DSC			DSC
THC_0095	NA	YY1		RR_PE0045_YY1_INPUT_2	INPUT	2				DSC			DSC
THC_0177	NA	YY1		RR_PE0184_YY1_ChIP_2	ChIP	2				DSC			DSC
THC_0253	NA	YY1		YY1ChIP1	ChIP	1				MSK			MSK
THC_0261	NA	YY1		YY1ChIP2	ChIP	2				MSK			MSK
THC_0201	NA	CTCF		CTCFChIP1	ChIP	1				MSK			MSK
THC_0209	NA	CTCF		CTCFChIP2	ChIP	2				MSK			MSK
THC_0252	NA	GFP		GFPChIP1	ChIP	1				MSK			MSK
THC_0260	NA	GFP		GFPChIP2	ChIP	2				MSK			MSK
